SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
821,"Bhandari Hospital & Research Centre, Jaipur",NORTH,Rajasthan,Jaipur,"138-A, Vasundhra Colony Tonk Road Jaipur Jaipur 302108 Dist Jaipur Rajasthan",Mr. B C Jain - Director,STD(0141) Tel: 2703851 2703852 2705122 Fax: 2707147,302108.0,Tonk Road
822,Bhandari Hospital And Research Centre,NORTH,Madhya Pradesh,Indore,"Gf 21-22-23, Scheme No.54 Vijay Nagar Indore 452010 Dist Indore Madhya Pradesh",Mr. Iqbal Ahmed,STD(0731) Tel: 4003333 Fax: 2552554,452010.0,Vijay Nagar
823,Bhandari Polyclinic Pvt Ltd,NORTH,Madhya Pradesh,Jabalpur,"659, Napier Town Jabalpur Jabalpur 482001 Dist Jabalpur Madhya Pradesh",Ms. Aruna Bhandari - Director,STD(0761) Tel: 2400258 2403333 Fax: 4037212,482001.0,Napier Town
824,Bhandup Criticare Hospital Pvt Ltd,WEST,Maharashtra,Mumbai,"First Floor, Sahjeevan Heights, Near Kokan Nagar Bus Stop, Besides DMK Jaoli Bank, Kokan Nagar, Bhandup, Mumbai, Dist: Mumbai, State: Maharashtra-400078",Dr.Pramod Thorawade,"STD(0) Tel: 0, Fax: 0, Mob: 9820043466",400078.0,Kokan Nagar
825,Bhanu Eye Care Centre,SOUTH,Andhra Pradesh,Visakhapatnam,"D.no: 26-23-17, NH-5, Chinagantyada, Gajuwaka, Visakhapatnam - 530026; Dist: Visakhapatnam; State: Andhra Pradesh",Dr. S. Bulliyya - MD,Std(0891) Tel: 2517083 Fax: 0,530026.0,Gajuwaka
826,Bhanushali Hospital,WEST,Maharashtra,Thane,"Shivaji Path, Near Thane Rly. Station, Thane (W), District: Thane, State: Maharashtra-400601",Dr. Harikant S Bhanushali - Proprietor,STD(022) Tel: 25332791 25365434 Fax: 25416449,400601.0,Thane - West
827,Bharat Vikas Parishad Hospital and Research Centre,NORTH,Rajasthan,Kota,Pratap Nagar Dada Bari Kota Kota 324005 Dist Kota Rajasthan,Dr. Jitendra Singh - Medical Superintendent,STD(0744) Tel: 2504501 2504505 2504505 Fax: 2501325,324005.0,Dada Bari
828,Bharath Hospital & Institute Of Oncology,SOUTH,Karnataka,Mysuru,"438, Outer Ring Road Hebbal Mysore - 570017 Dist: Mysore State: Karnataka",Dr. M S Vishveshwara - Mediacal Superdient,STD(0821) Tel: 4280011 4280022 4280284 Fax: 4280286,570017.0,Hebbal
829,Bharath Nursing Home,SOUTH,Karnataka,Bengaluru,"1402, J P Nagar 1st Phase Sarakki Gate, K P Main Road Jp Nagar Bangalore 560078 Dist Bangalore Karnataka",Dr. B V Venugopal - Medical Director,STD(080) Tel: 26539923 Fax: 26535804,560078.0,JP Nagar
830,Bharath Rural Hospital and Training Center,SOUTH,Kerala,Thrissur,Moothakunnam Moothakunnam 686552 Dist Thrissur Kerala,Dr.M.M.Sageer,STD (0484) Tel: 2482863 2482025 Fax:2482863,686552.0,South Kuriyappilly
831,Bharathi Childrens & Maternity Hospital,SOUTH,Telangana,Jagtial,"Tahasil Chowrastra, Jambigadde road, Jagtial 505327 Dist Karimnagar Telangana",Dr.R .Srinivas - Managing Director,STD (08724) 222434,505327.0,"Jambigadde Road,"
832,Bharathi Hospital,SOUTH,Tamil Nadu,Madurai,"115, Alagar Kovil Road (Near Pudur Bus Stand), K.Pudur, Madurai 625007 Dist Madurai Tamil Nadu",Dr. Alwar Ramanujam - Managing Director,"STD (0452) 4250785, 2560709",625007.0,K. Pudur
833,"Bharathi Hospital, Cuddapah",SOUTH,Andhra Pradesh,Kadapa,"1/82, R S Road Yerramukka Palli Kadapa 516004 Dist Kadapa Andhra Pradesh",Dr. RG V Reddy - Director,STD(08562) Tel: 257089 257026 Fax: 257026,516004.0,Yerramukka Palli
834,"Bharathi Hospital, Tumkur",SOUTH,Karnataka,Tumukuru,"2nd Cross, Opp Neps, Near Bhadramma Chowltry, Shankarapuram, Tumkur 572102 Dist Tumkur Karnataka",Dr. P N Santhakumar - Managing Director,STD(0816) Tel: 2254438 2271325 Fax:,572102.0,Shankarapuram
835,Bharathi Mission Hospital,SOUTH,Tamil Nadu,Dindigul,"11/91, Nvgb Hall Road Nagal Nagar Dindigul Dindigul 624003 Dist Dindigul Tamil Nadu",Dr. R Sridhar -,STD(0451) Tel: 2433323 6531433 2440585 Fax:,624003.0,Nagal Nagar
836,Bharathi Rajaa Specialty Hospital,SOUTH,Tamil Nadu,Chennai,"No: 20, G. N Chetty Road T. Nagar Chennai Chennai 600017 Dist Chennai Tamil Nadu",Dr. C Natesan - Managing Director,STD(044) Tel: 28345300 28345301 28345302 Fax: 28345303,600017.0,T Nagar
837,Bharathiya Arogya Nidhi,WEST,Maharashtra,Mumbai,Ns Rd 13 Jvpd Scheme Vile Parle - West Mumbai 400049 Dist Mumbai Maharashtra,Mr. Shirish Shah - Administrator,STD(022) Tel: 26206021 26206493 Fax: 26204241,400049.0,Vile Parle West
838,Bharathy Hospital,SOUTH,Karnataka,Bengaluru,"#4, Nagarabhavi Main Road, Prashanthnagar Bangalore 560079 Dist Bangalore Karnataka",Bharathy Rangaswamy,STD (080) Tel: 23489238 Fax: 23489238,560079.0,Prashanthnagar
839,Bharati Hospital And Research Centre,WEST,Maharashtra,Pune,Katraj-Dhankawadi Pune 411043 Dist Pune Maharashtra,Dr.Asmita Jagtap - Executive Director,STD (022) Tel:24371116 40555555,411043.0,Kajraj - Dhankwadi
840,Bhardwaj Hospital,NORTH,Uttar Pradesh,Noida,"Nh-1, Sector - 29, Opposite Ganga Shopping Complex, City: Noida, Dist: Noida, State: Uttar Pradesh - 201301",TPA Coordinator,STD (0120) Tel: 2450111 222333 Fax: 2451991,201301.0,Sec -29
841,Bhardwaj Hospital,North,Delhi,New Delhi,"NH-1,Sec-29",...,...,201301.0,
842,Bhargava Hospital,NORTH,Uttar Pradesh,Kanpur,"15/263, Civil Lines Civil Lines Kanpur 208001 Dist Kanpur Uttar Pradesh",Dr. Sanjeev Bhargava - Partner,STD(0512) Tel: 2330333 2304500 2304700 Fax: 2306497,208001.0,Civil Lines
843,Bhargava Hospital & Trauma Centre,NORTH,Uttar Pradesh,Varanasi,"S8/457A, Pandeypur Police Line Crossing Varanasi 221002 Dist Varanasi Uttar Pradesh",Dr. Sumit Bhargava,STD (0542) 2503077,221002.0,Police Line Crossing
844,Bhargava Medical and Trauma Centre,NORTH,Uttar Pradesh,Kanpur,"30-E 'O' Block, Kidwai Nagar Kanpur 208023 Dist Kanpur Uttar Pradesh",Dr.Gaurav Bhargava - Director,"STD (0512) 2600580, 2600590 Fax: 2600590",208023.0,Kidwai Nagar
845,Bharti ENT Care Hospital,WEST,Gujarat,Vadodara,"3-5th Floor, Kunj Centrum, 21 Tashkand Society, Nizampura Main Road, City: Vadodara, Dist: Vadodara, State: Gujarat - 390002",Dr.Bhavin Parikh,"STD: (0265) Tel: 2762076, 2761765 Fax: 0 Mob: 9978904852",390002.0,Nizampura
846,Bharti Eye Foundation,NORTH,Delhi,New Delhi,"1/3, East Patel Nagar New Delhi 110008 Dist New Delhi Delhi",Dr. S Bharti - Senior Consultant,STD(011) Tel: 51698222 25889900 25885533 Fax:,110008.0,East Patel Nagar
847,BHARTI EYE HOSPITAL,NORTH,Delhi,New Delhi,"E-52, Greater Kailesh -I",TPA Coordinator,011-29240000,110048.0,Delhi
848,Bhatia Eye Hospital,NORTH,Punjab,Jalandhar,"Opp Honda Showroom, Near Football Chowk, Jalandhar 144001 Dist Jalandhar Punjab",Captain Rajesh,STD(0181) Tel: 2280123,144001.0,Near Football Chowk
849,Bhatia Global Hospital & Endosurgery Institute,NORTH,Delhi,New Delhi,"305,307,308 Ambica Vihar Opp Central School Paschim Vihar Delhi",R S Bhatia,9810418320,110087.0,Paschim Vihar
850,Bhatia Nursing Home,NORTH,Haryana,Ballabgarh,"Punjabi Mohlla, Mohna Road, Mohna Road, Ballabgarh 121004 Dist Faridabad Haryana",Dr Ashok Bhatia - Director,STD : 0129 Ph No : 2246867 2213750 Fax : 2241202,121004.0,Mohna Road
851,Bhatia Orthopaedic & Maternity Nursing Home,NORTH,Haryana,Faridabad,"390, Sector-7b Faridabad 121006 Dist Faridabad Haryana",Dr. Pankaj Bhatia - Proprietor,STD(0129) Tel: 2243152 Fax: 4065652,121006.0,Sector-7B
852,Bhatnagar Nursing Home,NORTH,Uttaranchal,Roorkee,"7/77 Purvavali, Ganeshpur Roorkee 247667 Dist Haridwar Uttara Khand",Dr. SM Bhatnagar -,STD(01332) Tel: 270798 276212 Fax:,247667.0,Ganeshpur
853,Bhattacharya Ortho And Related Res Centre P Ltd,EAST,West Bengal,Kolkata,"Narayanpur, P.O:Rajarhat - Gopalpur, Kolkata Dist : Kolkata State : Kolkata Pin : 700136",Mr Debabrata Das,STD : 033 Phone No : 25195047 25195121 FAX No : 25195120,700136.0,PO:Rajarhat - Gopalpur
854,Bhavan Sarada Devi Hospital,SOUTH,Telangana,Hyderabad,"Sainikpuri, Malkajgiri, Secunderabad, Hyderabad 500094 Dist Rangareddy Telangana",Dr. Lt.Col.S.K.Panda,STD (040) 27113980 27110303,500094.0,Malkajgiri
855,Bhavika Nursing Home,SOUTH,Telangana,Hyderabad,7-1-212/5 Shiv Bagh Ameerpet Hyderabad 500038 Dist Hyderabad Telangana,Dr. Nagamani - Managing Director,STD (040) 23755528,500038.0,Shiv Bagh
856,Bhavsar Nursing Home And ICCU,WEST,Maharashtra,Mumbai,"Shop:27 to 31,Ground Floor,Skicity Retail,v,Lake Road, Bhandup-West, Mumbai - 400078; Dist: Mumbai; State: Maharashtra",0,Std(0) Tel: 0 Fax: 0 Mob: 9324882628,400078.0,Opp:Bhandup Police Station
857,Bhavya Nursing Home,SOUTH,Andhra Pradesh,Proddatur,"4/203, Gandhi Road, Proddatur 516360 Dist Kadapa Andhra Pradesh",Dr. P. Satya Prasad - MBBS.,STD(08564) Tel: 245533,516360.0,Gandhi Road
858,Bhola Hospital,NORTH,Uttar Pradesh,Allahabad,12/13 Lowther Road Darbhanga Colony Allahabad 211002 Dist Allahabad Uttar Pradesh,Dr. Harish Ksarwani -,STD(0532) Tel: 2461737 2460048 Fax: 2460645,211002.0,Darbhanga Colony
859,Bhopal Fracure Hospital,NORTH,Madhya Pradesh,Bhopal,"E-3/28a, Arera Colony Bhopal 462016 Dist Bhopal Madhya Pradesh",Dr. Sandeep Sharma - Partner,STD(0755) Tel: 2463600 4007000 4276087 Fax: 2463600,462016.0,Arera Colony
860,Bhoruka Netralaya,SOUTH,Karnataka,Kalburgi,"Kesaratagi Road, Behind Akashwani, Near Samadhan Ashram, City: Kalaburagi, Dist: Gulbarga, State: Karnataka - 585102",Dr. Prabhu Gowda - MD,STD (8472) Tel: 0 Fax: 0 Mob: 9986411501,585102.0,Kesaratagi Road
861,Biala Orthopaedics And Multispeciality Hospital,NORTH,Punjab,Amritsar,"54-A, Hukum Singh Road, Bhavan'S Sl Public School Lane, Amritsar; Dist: Amritsar; State: Punjab - 143001",Dr. Ravi Krishna Birla-Patner,Std (183) Tel: 2279924 Fax: 0 Mob: 8196047048,143001.0,Hukum Singh Road
862,Bidhan Niramoy,EAST,West Bengal,Durgapur,"B-120 Aldrin Path, Bidhan Nagar Durgapur 713212 Dist Burdwan West Bengal",Mrs. Milani Sengupta - Proprietor,STD(0343) Tel: 2537083 2537001 Fax: 2537083,713212.0,Bidhan Nagar
863,Bijankur Hospital,WEST,Maharashtra,Ambernath,"Navare Nagar Road, Near Anand Park, Ambernath(E), Ambernath 421501 Dist Thane Maharashtra",Dr.Krushal Patil - Managing Director,STD(0251) 2689191,421501.0,Near Anand Park
864,Bikaner Hospital,NORTH,Rajasthan,Sri Ganganagar,"Bikaner Road, Ward No-18, Suratgarh Sriganganagar 335804 Dist Sriganganagar Rajasthan",Dr Rajendra Kumar Chhabra - Propriter,STD : 01509 Ph No : 220345,335804.0,Suratgarh
865,Bikaner Nursing Home,NORTH,Rajasthan,Bikaner,Pawan Puri Bikaner Bikaner 334003 Dist Bikaner Rajasthan,Dr. A P Wahal - Managing Director,STD(0151) Tel: 2529163 2543550 Fax:,334003.0,Bikaner
866,Bilal Hospital And I.C.U,WEST,Maharashtra,Thane,"Royal garden, A Wing, Near Shimla Park, Kausa Mubra, Thane, Dist:Thane, State: Maharashtra - 400612",Dr.Nizamuddin Syed,STD (0) Tel: 0 Fax: 0 Mob: 8779528481,400612.0,"Kausa Mubra,"
867,Billroth Hospital,SOUTH,Tamil Nadu,Chennai,"52, Ii Main Road Raja Annamalaipuram Chennai 600028 Dist Chennai Tamil Nadu",Mr. Ravichandran Administrator - Admin Manager,STD(044) Tel: 24641111 24935244 24615741 Fax: 24615742,600028.0,Raja Annamalaipuram
868,Billroth Hospitals Ltd,SOUTH,Tamil Nadu,Chennai,"43, Lakshmi Talkies Road Shenoy Nagar Chennai Chennai 600030 Dist Chennai Tamil Nadu",Dr. V Jeganathan - Chairman & MD,STD(044) Tel: 26641777 26641020 26644070 Fax: 26646999,600030.0,Shenoy Nagar
869,Bina Clinic Eye Care Centre,WEST,Gujarat,Vadodara,"11-B, Sumpatrao Colony, Alkapuri, R.C Dist Road, Vadodara 390007 Dist Vadodara Gujarat",Mr. Vishal Purohit,STD (0265) Tel: 2340231 Fax: 2340231,390007.0,RC Dist Road
870,Binayak Imaging & Diagnostic Pvt Ltd,EAST,West Bengal,Kolkata,"59, Kalicharan Ghosh Road, Kolkata 700050 Dist Kolkata West Bengal",Mr Ghoshal,"STD(033) Tel: 25325251, 25325252,25325253 Fax:25329091",700050.0,KaliCharan Ghosh Road
871,Bindubasini Nursing Home,EAST,West Bengal,Kolkata,"76, Madhusudan Banerjee Road Birati Kolkata Kolkata 700051 Dist Kolkata West Bengal",Dr. Goutam Dutta Sarma - Partner,STD (033) Tel: 25393892 25392787 28741302 Fax: 28441266,700051.0,Birati
872,Birla Eye Hospital,WEST,Maharashtra,Nashik,"B-180, Opposite Zilla Parishad,, Trimbak Road, near Pooja Internatinal Hotel, City: Nashik, Dist: Nashik, State: Maharashtra - 422002",Ganesh Aher,STD (0253) Tel: 2505666 Fax: 0 Mob: 9225608150,422002.0,Sharanpur Road
873,Birmole Hospital,WEST,Maharashtra,Mumbai,"118/1, Cuf Road, Cuf Nagar, Behind Garden Hotel Panvel 410206 Dist Raigad Maharashtra",Dr. B J Birmole - Director,STD(022) Tel: 27451610 27451305 Fax: 27455486,410206.0,Panvel
874,Bishnupur Multispeciality Hospital (BMH),EAST,Bihar,Begusarai,"Bhishnupur, Begusarai 851129 Dist Begusarai Bihar",Dr. R P Singh,STD(06243) Tel: 212849 Fax: 212849,851129.0,Bhishnupur
875,Bishop Benziger Hospital,SOUTH,Kerala,Kollam,"Beach Road, Kollam 691001 Dist Kollam Kerala",Ferdinand Peter - Director,STD (0474) Tel: 2768201 2768202 3987000 Fax: 2741762,691001.0,Beach Road
876,Bither Hospital,NORTH,Punjab,Sirhind,". New Fly Over, Sirhind, Sirhind 140406 Dist Fatehgarh Sahib Punjab",Dr.Girish Bither - Proprietor,STD (01763) 229616 Fax:229616,140406.0,#Near New Fly Over
877,Bk Heart Hospital Pvt. Ltd.,NORTH,Uttar Pradesh,Varanasi,"N7/1, R-12 Bhikharipur Newada, Dlw Bhu Road, District: Varanasi, State: Uttar Pradesh-221004",Dr. BK Singh - MD,"STD: 0542, Tel: 2316129, Fax: 0, Mob: 7607005732",221004.0,Dlw Bhu Road
878,Bk Memorial Hospital,EAST,Assam,Sonitpur,Natunpara Natunpara Tezpur 784001 Dist Sonitpur Assam,Dr. Binoba Dath Roy,Std(03712) Tel: 220656 Fax: 230340,784001.0,Natunpara
879,BKM Memorial Hospital,SOUTH,Kerala,Kannur,Bye Pass Road Payyannur Payyannur 670307 Dist Kannur Kerala,Mr. Abooty - MD,STD(04985) Tel: 204787 Fax: 204787,670307.0,Payyannur
880,BLK Memorial Hospital,NORTH,Delhi,New Delhi,Pusa Road Pusa Road New Delhi New Delhi 110005 Dist New Delhi Delhi,Dr. A.S.Kohli - Managing Director,STD(011) Tel: 30403040 Fax: 25752885,110005.0,Pusa Road
881,Bloom Health Care,SOUTH,Tamil Nadu,Chennai,"#32, Taramani Link Road, Velachery Chennai 600042 Dist Chennai Tamil Nadu",Dr Gautham Sigamani - Managing Director,STD (044) 42640865 42640866 Fax:42640866,600042.0,Velachery
882,Bloom Hospital (A Unit of Janapareddy Hospital),SOUTH,Telangana,Hyderabad,"6A/7A, Pet Basherabad, Kompally, NH-7, Hyderabad - 500014; Dist: Hyderabad State: Telangana",...,STD (040) 27165700 27165701,500014.0,Kompally
883,Blossoms Research Center And Health Care Vijayawada LLP,SOUTH,Andhra Pradesh,Vijayawada,"D.No:36-8-45, Water Tank Road, Sikhamani Center, Vijayawada Dist: Krishna, State; Andhra Pradhesh-520010",Sudheer,STD (866) Tel 6690999,520010.0,Sikhamani Center
884,Blossoms Super Specialities Hospital,NORTH,Uttar Pradesh,Agra,"2-Khandhari Quarters, Master Plan Road, Khandhari, Agra, Dist: Agra, State: Uttar Pradesh-282002",Vinod Kumar - TPA Co-ordinator,STD(0562) Tel: 4040405,282002.0,Khandhari
885,Blue Line Hospital Pvt Ltd,EAST,Orissa,Cuttack,"Mohanty pada, Infront of Income Tax Colony, Shelter Chheck, Cuttack - 753002; Dist: Cuttack; State: Odisha",Mr. Arnab Pradhan - MD,Std(0671) Tel: 2364500 2363333 Fax: 0 Mob: 8917236614,753002.0,Shelter Chheck
886,BM Birla Heart Research Centre,EAST,West Bengal,Kolkata,Library Road Alipore Kolkata Kolkata 700017 Dist Kolkata West Bengal,Mr. R A Sharma -,STD(033) Tel: 30403063 Fax: 24567000/7979,700017.0,Alipore
887,BM Hospital,SOUTH,Tamil Nadu,Chennai,"No. 36, 5th Main Road, Thillai Ganga Nagar Thillai Ganga Nagar Chennai 600061 Dist Chennai Tamil Nadu",Dr. V Thiagarajan - Director,"STD (044) Tel : 22671182, 22670277, 22670884, 22670886 Fax: 22670179, 22670066",600061.0,Thillai Ganga Nagar
888,BMRI Hospital (P) Ltd.,EAST,West Bengal,Kolkata,"8a, Diamond Harbour Road Thakurpukur Kolkata Kolkata 700063 Dist Kolkata West Bengal",Dr. Dalia Chatterjee - Medical Director,STD (033) Tel: 24534079 64580032 Fax: 22436236,700063.0,Diamond Harbour Road
889,BMS Multi Speciality Hospital,SOUTH,Tamil Nadu,Hosur,"No. 302, Near National Petrol Bunk, Oppsite Lal, Sipcot - 1, Hosur 635126 Dist Krishnagiri Tamil Nadu",Dr Ballapuram Manickam Sundararajulu,STD (04344) Tel: 278999,635126.0,Sipcot – 1
890,Bodyline Hospitals,WEST,Gujarat,Ahmedabad,"Nava Vikas Gruh Road, Opp: Annapurna Hall, Paldi Ahmedabad 380007 Dist Ahmedabad Gujarat",Dr. Shailesh A Shah - Owner,STD(079) Tel: 26640505 9824076703 9824076704 Fax:,380007.0,Paldi
891,Bombay Hospital And Medical Research Centre,WEST,Maharashtra,Mumbai,12 New Marines Lines 12 New Marines Lines Marine Lines Mumbai 400020 Dist Mumbai Maharashtra,Dr. Narsinha Reddy - Director-Admn,STD(022) Tel: 22067676 22079485 Fax: 22080871,400020.0,Marine Lines
892,Bombay Hospital And Research Centre,NORTH,Uttaranchal,Haldwani,"Near Saurabh Hotel, Avas Vikas Road, Haldwani 263139 Dist Nainital Uttara Khand",Rajeev Pandey,STD (05946) Tel: 284949 Fax: 283712,263139.0,Avas Vikas Road
893,"Bombay Hospital, Indore",NORTH,Madhya Pradesh,Indore,Ring Road Indore Indore 452010 Dist Indore Madhya Pradesh,Dr. Vindod Bhandari -,STD(0731) Tel: 5077000 5025049 Fax: 257811,452010.0,Indore
894,Bone and Joint Hospital and Research Centre,NORTH,Rajasthan,Jodhpur,"3, Shyam Nagar, Pal Link Road, Near Radha Krishna Temple, City: Jodhpur, Dist: Jodhpur, State: Rajasthan - 342003",Tarun Sharma,STD (0291) Tel: 2110000 Fax: 2754777 Mob: 9694022500,342003.0,Near Radha Krishna Temple
895,Bopal Eye Care Centre,WEST,Gujarat,Ahmedabad,"BS-22 To 25, 2nd Floor, B-Wing, Amrapali Mall, Near City Gold Theatre, Ambli-Bopal Road, Ahmedabad 380058 Dist Ahmedabad Gujarat",Dr. Alpesh R Shah - Propriter,STD (02717) 231390,380058.0,Near City Gold Theatre
896,Bopal ICU And Truma Centre,WEST,Gujarat,Ahmedabad,"17-26, 3rd Floor, Amrapali Axiom, Near Bopal Junction, Ambali, City: Ahmedabad, Dist: Ahmedabad, State: Gujarat - 380058",Nishi Soni,STD (02717) Tel: 409999 Fax: 0 Mob: 9737973300,380058.0,Ambli
897,Bopal Multispeciality Hospital,WEST,Gujarat,Ahmedabad,"1st Floor, Abhinandan Complex, Opp. Inductotherm, Bopal Ahmedabad 380058 Dist Ahmedabad Gujarat",TPA Coordinator,STD (02717) Tel: 233043 Fax: 235300,380058.0,Bopal
898,Bragathi Hospital,SOUTH,Tamil Nadu,Coimbatore,"336, Chinnaswamy Road, New Sidhapudur, Coimbatore 641044 Dist Coimbatore Tamil Nadu",G.BalaSubramanian,STD (0422) 2525259,641044.0,Siddhapudur
899,Brahm Shakti Hospital & Reasearch Centre,NORTH,Delhi,New Delhi,"U-1/78, Sect-20, Budh Vihar, Kanjhawala Road, Pooth Kalan, Rohini, New Delhi, Dist: New Delhi, State: Delhi - 110086",...,STD (011) Tel: 27532092 Fax: 0 Mob: 9958689711,110086.0,Rohini
900,Brahm Shakti Sanjivani Hospital (P) Ltd,NORTH,Haryana,Jhajjar,Opp: Telephone Exchange Delhi Rohtak Road Jhajjar Jhajjar 124507 Dist Jhajjar Haryana,Dr. Bhagirath Raj Sharma - Chairman,STD(01276) Tel: 236666 231336 230898 Fax: 235666,124507.0,Delhi Rohtak Road
901,Brahmananda Narayana Hrudayalaya,EAST,Jharkhand,Saraikela Kharsawan,"Tamolia, Near Pardih Chowk, Nh-33, Jamshedpur 831012 Dist Saraikela Kharsawan Jharkhand",Dr Sunjay Ranjan Deb -,STD(0657) Tel: 3984000 Fax: 3984125,831012.0,NH-33
902,Brahmchaitanya Superspeciality Hospital Pvt Ltd (Previously Chaitanya Superspeciality Hospital),WEST,Maharashtra,Pune,"Bhoir Colony, Ramkrishna More Sabhagruha, Chinchwad - 411033",Dr. Sushil Kulkarni - Proprietor,STD(020) Tel: 65000021 Fax: 0,411033.0,Bhoir Colony
903,Brain & Spine Hospitals Private Limited,SOUTH,Tamil Nadu,Chennai,"BVL Towers, No-42, 1st Main Road, CIT Nagar, Nandanam, Chennai, Dist: Chennai, State: Tamil Nadu-600035",0,0,600035.0,BVL Towers
904,Brajraj Hospital & Superspeciality Centre,NORTH,Uttar Pradesh,Lucknow,"Tahseenganj Crossing, Hardoi Road, Chowk",Dr. Amalanshu Raman - Director,Std (0522) Tel: 4066394 Fax: 4066394,226003.0,
905,Brar Eye Centre,NORTH,Punjab,Ludhiana,"5-A, SARABHA NAGAR, District:LUDHIANA, State:Punjab-141001",Dr.Devinder Jit Singh Brar,"STD- (016), Tel: 2458171, Fax: (0), Mob: 7355578171",141001.0,SARABHA NAGAR
906,Brar Eye Hospital Pvt Ltd,NORTH,Punjab,Bathinda,"Gt Road, Near Rose Garden Chowk, Bathinda 151001 Dist Bathinda Punjab",Dr PS Brar - Managing Director,STD (0164) 2221150 2211150 Fax:2211050,151001.0,Near Rose Garden Chowk
907,Brar Eye Hospital Pvt Ltd,NORTH,Punjab,Kotkapura,Faridkot Road Kotkapura 151204 Dist Faridkot Punjab,Dr PS Brar - Managing Director,"STD (01635) 222250, Fax:228750",151204.0,FARIDKOT ROAD
908,Bright Hospital,SOUTH,Tamil Nadu,Madurai,"No.22, Dr.Thangaraj Salai, K.K.Nagar Madurai 625020 Dist Madurai Tamil Nadu",Ms M Shunmugavadivoo - Propriter,STD : 0452 Ph No : 2535300,625020.0,KK Nagar
909,"Brij Medical Centre, Kanpur",NORTH,Uttar Pradesh,Kanpur,NO 94 E-BLOCK NO 94 E-BLOCK PANKI UTTAR PRADESH KANPUR 208020,Mr. Deepak Kharbanda - Executive Director,STD(0512) Tel: 05122262150,208020.0,Near Panki Thana
910,Brij Nursing Home,NORTH,Uttar Pradesh,Mathura,National Highway No 02 Mathura Road Near Bathain Gate Kosi Kalan,Dr prakash Chand Agrawal,9557024547,281403.0,Kosi Kalan
911,Brijesh Banger Memorial,NORTH,Rajasthan,Bhilwara,"R.C. Vyas Colony, Behind Rajiv Gandhi Auditorium, Bhiwara - 311001; Dist: Bhiwara; State: Rajasthan",Mr. Nilesh Banger - CEO,Std (01482) Tel: 297501 297502 Fax: 0,311001.0,R.C. Vyas Colony
912,Brijlal Hospital & Research Centre Pvt Ltd,NORTH,Uttaranchal,Haldwani,"Anandi Towers, Nainital Road Haldwani Haldwani 263139 Dist Nainital Uttara Khand",Dr. M.S. Laopal - Medical Superitendent,STD(05946) Tel: 284816 Fax: 284816,263139.0,Nainital Road
913,Brindavan Hospital & Research Centre Pvt.Ltd.,EAST,Jharkhand,Ramgarh,Ranchi Road Po Marar Ramgarh 829117 Dist Ramgarh Jharkhand,Dr. Malathi Char - Managing Director,STD(06553) Tel: 224516 Fax:,829117.0,PO Marar
914,Brindhavvan Areion Hospital,SOUTH,Karnataka,Bengaluru,"No:17, 4th Main Road, Chamarajapet, Bangalore 560018 Dist Bangalore Karnataka",Dr. Harish Kumar B.J.- Managing Director,STD (080) 25257700,560018.0,Chamarajapet
915,"Bristlecone Hospitals (A unit of Virinchi Limited), Barkatpura",SOUTH,Telangana,Hyderabad,"#:3-4-136/A, Barkatpura Hyderabad 500027 Dist Hyderabad Telangana",Dr. Ramjeerao - MD,STD (040) Tel: 45999999 Fax: 45999901 Mob: 0,500027.0,Barkatpura
916,"Bristlecone Hospitals (A unit of Virinchi Limited), HayatNagar",SOUTH,Telangana,Hyderabad,"P # 5&9, Nh-9, Besides Saibaba Temple, Padmavathi Nagar, Hayat Nagar Hyderabad 501505 Dist Rangareddy Telangana",Dr Ramjeerao - MD,"STD : 040 - 24112233, 24200666, Fax No : 24200888",501505.0,Hayath Nagar
917,BRJ Ortho Centre & MAK Hospital,SOUTH,Tamil Nadu,Coimbatore,"2-1, Raju Nagar, Fertilizer co stop, Coimbatore 641043 Dist Coimbatore Tamil Nadu",Mr.BRJ.Satish Kumar - Managing Director,"STD (0422) 2433301, 2433302 Fax:2433306",641043.0,Fertilizer Company Stop
918,BRS Hospital Pvt Ltd,SOUTH,Tamil Nadu,Chennai,"28, Cathedral Garden Road, Nungambakkam Chennai 600034 Dist Chennai Tamil Nadu",Dr. B. Madhusudhanan - Managing Director,STD(044) Tel: 30414200; 30414230; 28221947; 30414250; 30414229 Fax:,600034.0,Nungambakkam
919,BSES MG Hospital,WEST,Maharashtra,Mumbai,S.V. Road Near Rly Station Andheri - West Mumbai 400058 Dist Mumbai Maharashtra,Mrs. Kumkum Baidyaroy - Hospital Administrator,STD(022) Tel: 56970707 26206336 26206181 Fax: 26715000,400058.0,Andheri - West
920,BSR ENT Nursing Home,SOUTH,Telangana,Hyderabad,"111, Karan Centre, S D Road Secunderabad 500003 Dist Hyderabad Telangana",Dr. Shanker Rao - Proprietor,STD(040) Tel: 27848166 27818167 Fax: 27894200,500003.0,S D Road
921,BSR SUPERSPECIALITY HOSPITAL,NORTH,Chhattisgarh,Bhilai,"Junwani Road, Smriti Nagar, Near Chaohan Towers, Bhilai Bhilai 490020 Dist Durg Chhattisgarh",Dr. M.K. Khanduja - Managing Director,STD(0788) Tel: 4085100 4085200 Fax: 4085132,490020.0,Near Chaohan Towers
